n,data_type,algorithm,correctness_rate,avg_natural_run_count,avg_natural_normalized_run_count,avg_natural_run_cv,avg_natural_max_run_ratio,avg_natural_max_to_avg_ratio,avg_natural_run_entropy_bound_nH,avg_adjusted_run_count,avg_adjusted_normalized_run_count,avg_adjusted_run_cv,avg_adjusted_max_run_ratio,avg_adjusted_max_to_avg_ratio,avg_adjusted_run_entropy_bound_nH,avg_minrun,avg_insertion_ratio,avg_extended_run_count,avg_weighted_merge_workload,avg_merge_comparisons,run_count_retention_ratio,entropy_retention_ratio,run_cv_change,max_run_ratio_change
5000,near_minrun_boundary,powersort_style_with_minrun,1.0,126.0,0.0252,0.09072948803999722,0.0082,1.0332,34833.43145026354,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,0.504,63.0,34880.0,17422.0,0.9920634920634921,0.9998705259067141,-0.09072948803999722,-0.00020000000000000052
5000,near_minrun_boundary,powersort_style_without_minrun,1.0,126.0,0.0252,0.09072948803999722,0.0082,1.0332,34833.43145026354,126.0,0.0252,0.09072948803999722,0.0082,1.0332,34833.43145026354,0.0,0.0,0.0,34921.0,17522.0,1.0,1.0,0.0,0.0
5000,near_minrun_boundary,timsort_style_with_minrun,1.0,126.0,0.0252,0.09072948803999722,0.0082,1.0332,34833.43145026354,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,0.504,63.0,34920.0,17222.0,0.9920634920634921,0.9998705259067141,-0.09072948803999722,-0.00020000000000000052
5000,near_minrun_boundary,timsort_style_without_minrun,1.0,126.0,0.0252,0.09072948803999722,0.0082,1.0332,34833.43145026354,126.0,0.0252,0.09072948803999722,0.0082,1.0332,34833.43145026354,0.0,0.0,0.0,34960.0,17223.0,1.0,1.0,0.0,0.0
5000,nearly_sorted,powersort_style_with_minrun,1.0,194.6,0.038919999999999996,0.9912702646150917,0.032479999999999995,6.31312,35112.4563869729,110.6,0.02212,0.3484693964671647,0.02968,3.2619999999999996,33602.16824428366,40.0,0.68664,86.2,33886.0,31425.2,0.5683453237410072,0.9569871123214958,-0.642800868147927,-0.0027999999999999935
5000,nearly_sorted,powersort_style_without_minrun,1.0,194.6,0.038919999999999996,0.9912702646150917,0.032479999999999995,6.31312,35112.4563869729,194.6,0.038919999999999996,0.9912702646150917,0.032479999999999995,6.31312,35112.4563869729,0.0,0.0,0.0,36428.6,33186.8,1.0,1.0,0.0,0.0
5000,nearly_sorted,timsort_style_with_minrun,1.0,194.6,0.038919999999999996,0.9912702646150917,0.032479999999999995,6.31312,35112.4563869729,110.6,0.02212,0.3484693964671647,0.02968,3.2619999999999996,33602.16824428366,40.0,0.68664,86.2,35884.8,33731.4,0.5683453237410072,0.9569871123214958,-0.642800868147927,-0.0027999999999999935
5000,nearly_sorted,timsort_style_without_minrun,1.0,194.6,0.038919999999999996,0.9912702646150917,0.032479999999999995,6.31312,35112.4563869729,194.6,0.038919999999999996,0.9912702646150917,0.032479999999999995,6.31312,35112.4563869729,0.0,0.0,0.0,38835.2,36030.6,1.0,1.0,0.0,0.0
5000,one_huge_tail_minrun_aware,powersort_style_with_minrun,1.0,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,40.0,0.0,0.0,5520.0,5000.0,1.0,1.0,0.0,0.0
5000,one_huge_tail_minrun_aware,powersort_style_without_minrun,1.0,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,0.0,0.0,0.0,5520.0,5000.0,1.0,1.0,0.0,0.0
5000,one_huge_tail_minrun_aware,timsort_style_with_minrun,1.0,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,40.0,0.0,0.0,5520.0,5000.0,1.0,1.0,0.0,0.0
5000,one_huge_tail_minrun_aware,timsort_style_without_minrun,1.0,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,6.0,0.0012,2.1287367145797997,0.96,5.76,1675.8465643895465,0.0,0.0,0.0,5520.0,5000.0,1.0,1.0,0.0,0.0
5000,one_huge_tail_raw_runs,powersort_style_with_minrun,1.0,501.0,0.1002,17.879599548088315,0.8,400.79999999999995,12575.424759098973,26.0,0.0052,3.96,0.8,20.799999999999997,8253.496664211532,40.0,0.2,25.0,9800.0,6160.0,0.05189620758483034,0.6563195138390613,-13.919599548088314,0.0
5000,one_huge_tail_raw_runs,powersort_style_without_minrun,1.0,501.0,0.1002,17.879599548088315,0.8,400.79999999999995,12575.424759098973,501.0,0.1002,17.879599548088315,0.8,400.79999999999995,12575.424759098973,0.0,0.0,0.0,14228.0,8342.0,1.0,1.0,0.0,0.0
5000,one_huge_tail_raw_runs,timsort_style_with_minrun,1.0,501.0,0.1002,17.879599548088315,0.8,400.79999999999995,12575.424759098973,26.0,0.0052,3.96,0.8,20.799999999999997,8253.496664211532,40.0,0.2,25.0,9880.0,6160.0,0.05189620758483034,0.6563195138390613,-13.919599548088314,0.0
5000,one_huge_tail_raw_runs,timsort_style_without_minrun,1.0,501.0,0.1002,17.879599548088315,0.8,400.79999999999995,12575.424759098973,501.0,0.1002,17.879599548088315,0.8,400.79999999999995,12575.424759098973,0.0,0.0,0.0,13984.0,8432.0,1.0,1.0,0.0,0.0
5000,random,powersort_style_with_minrun,1.0,2066.4,0.41328,0.28562480025775494,0.00132,2.7275199999999997,54803.62745302728,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,1.0,125.0,34880.0,34639.8,0.06049167634533488,0.6355221915403809,-0.28562480025775494,0.00668
5000,random,powersort_style_without_minrun,1.0,2066.4,0.41328,0.28562480025775494,0.00132,2.7275199999999997,54803.62745302728,2066.4,0.41328,0.28562480025775494,0.00132,2.7275199999999997,54803.62745302728,0.0,0.0,0.0,55152.4,51885.8,1.0,1.0,0.0,0.0
5000,random,timsort_style_with_minrun,1.0,2066.4,0.41328,0.28562480025775494,0.00132,2.7275199999999997,54803.62745302728,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,1.0,125.0,34920.0,34680.8,0.06049167634533488,0.6355221915403809,-0.28562480025775494,0.00668
